latitude,longitude
38.631913,-121.434879
38.478902,-121.431028
38.618305,-121.443839
38.616835,-121.439146
38.51947,-121.435768
38.662595,-121.327813
38.681659,-121.351705
38.535092,-121.481367
38.621188,-121.270555
38.700909,-121.442979
38.637663,-121.45152
38.470746,-121.458918
38.618698,-121.435833
38.482215,-121.492603
38.672914,-121.35934
38.700051,-121.351278
38.689591,-121.452239
38.679776,-121.314089
38.612099,-121.469095
38.689999,-121.46322
38.707851,-121.320707
38.468173,-121.444071
38.702792,-121.38221
38.628631,-121.488097
38.701499,-121.37622
38.70974,-121.37377
38.537526,-121.478315
38.476472,-121.501711
38.558423,-121.327948
38.472122,-121.404199
38.423251,-121.444489
38.691161,-121.37192
38.566663,-121.332644
38.713182,-121.411227
38.423251,-121.444489
38.48742,-121.462459
38.658246,-121.375469
38.479553,-121.463317
38.49857,-121.420925
38.58514,-121.403736
38.658812,-121.542345
38.493955,-121.48966
38.41653,-121.379653
38.72027,-121.331555
38.699251,-121.371414
38.613765,-121.488694
38.450543,-121.432538
